2026-02-23 17:27:20,146 | INFO | 开始执行Billboard Hot 100抓取
2026-02-23 17:27:20,150 | INFO | billboard.py版本：7.1.0
2026-02-23 17:27:20,151 | INFO | 开始抓取（第1次），User-Agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
2026-02-23 17:28:00,596 | INFO | 分页完成：共4页，每页最多25条
2026-02-23 17:28:01,221 | INFO | CSV输出完成：D:\Files\proj\coding\music_analysis02\billboard_hot100_2025.csv
2026-02-23 17:28:01,222 | INFO | Excel输出完成：D:\Files\proj\coding\music_analysis02\billboard_hot100_2025.xlsx
2026-02-23 17:28:01,222 | INFO | Top10抽查数据：[(1, 'All I Want For Christmas Is You', 'Mariah Carey'), (2, 'Jingle Bell Rock', 'Bobby Helms'), (3, "Rockin' Around The Christmas Tree", 'Brenda Lee'), (4, 'Last Christmas', 'Wham!'), (5, 'Santa Tell Me', 'Ariana Grande'), (6, 'The Christmas Song (Merry Christmas To You)', 'Nat "King" Cole'), (7, 'Underneath The Tree', 'Kelly Clarkson'), (8, 'Let It Snow! Let It Snow! Let It Snow!', 'Dean Martin'), (9, "It's The Most Wonderful Time Of The Year", 'Andy Williams'), (10, 'The Fate Of Ophelia', 'Taylor Swift')]
2026-02-23 17:28:01,223 | INFO | 抓取完成，总条数：100
2026-02-23 17:28:16,935 | INFO | 开始执行Billboard Hot 100抓取
2026-02-23 17:28:16,938 | INFO | billboard.py版本：7.1.0
2026-02-23 17:28:16,938 | INFO | 开始抓取（第1次），User-Agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
2026-02-23 17:28:58,091 | INFO | 分页完成：共4页，每页最多25条
2026-02-23 17:28:59,182 | INFO | CSV输出完成：D:\Files\proj\coding\music_analysis02\billboard_hot100_2025.csv
2026-02-23 17:28:59,183 | INFO | Excel输出完成：D:\Files\proj\coding\music_analysis02\billboard_hot100_2025.xlsx
2026-02-23 17:28:59,184 | INFO | Top10抽查数据：[(1, 'All I Want For Christmas Is You', 'Mariah Carey'), (2, 'Jingle Bell Rock', 'Bobby Helms'), (3, "Rockin' Around The Christmas Tree", 'Brenda Lee'), (4, 'Last Christmas', 'Wham!'), (5, 'Santa Tell Me', 'Ariana Grande'), (6, 'The Christmas Song (Merry Christmas To You)', 'Nat "King" Cole'), (7, 'Underneath The Tree', 'Kelly Clarkson'), (8, 'Let It Snow! Let It Snow! Let It Snow!', 'Dean Martin'), (9, "It's The Most Wonderful Time Of The Year", 'Andy Williams'), (10, 'The Fate Of Ophelia', 'Taylor Swift')]
2026-02-23 17:28:59,184 | INFO | 抓取完成，总条数：100
